ID;Value
4731347884;9792650
4861749265;278991
1977842720;9286077
5545966692;669328
4630237581;7136609
9741100648;3022889
3541763292;8744635
2237014683;7965211
4337400658;8319649
9086936379;7142349
4416161472;4986454
7542078778;6717515
6148414147;3801586
1418955237;4232625
5236075345;1795464
8919931856;4568203
8795333751;5745751
6413296115;7659346
9511289644;7135018
7168386202;9423789
6468059355;2033738
5326413821;5545222
1980870132;768622
8772176252;8834577
6459562773;3806535
2249775724;1824360
4034161936;489590
5875311145;3548668
9784775447;347555
6326903902;3895268
2769488983;4392365
4401760148;2017099
5554127833;9822047
1934879486;6737822
4971719369;9803755
6972019253;7102595
9867836210;1363439
2506423091;7581506
8293649188;254866
3914598283;6904166
3163757910;8294833
7165000795;835184
6585170985;2448033
8124438276;1535176
2414179794;6918820
8036435905;253076
2175040492;9057058
3680795582;2822168
2725761005;8429511
6842568124;5340423
4346389628;7865929
3409541040;2345437
5197701618;239430
9260628953;8776442
1780756402;3589798
3258609404;5641383
5711501331;3580717
8348080757;6367703
4031855214;6101103
9707685340;5700500
3690897264;8708878
1156235508;6150535
5108349267;8205330
4745364528;4556354
8359218244;8259181
1410703256;6791130
8974928669;4842026
6011352046;5453484
5700704662;7343656
9718314483;4883603
4278754521;7888212
3318852528;7443662
8316985033;7660584
3765383712;7109976
8246214064;3611392
5419269096;2848731
2824459381;648566
4582525558;3303187
4781694704;9540764
4667123243;279856
5074651422;9605781
8712910014;9457051
8369430701;7735262
1721906878;4724169
9224025263;8391134
9033345983;8781105
2329462393;258447
5318964284;705726
2262200517;4222613
5783047196;5336182
6438015868;3667988
3900975458;8054450
9802960891;9576548
8943533985;9298627
3955381967;341549
7298212475;121617
6722392513;7692742
1187674806;3484632
8131790899;2032021
